Area_Code,Land_Zoning,Business_Acreage,River_Proximity,Pollution_Level,Rooms_Avg,Old_Units_Rate,Distance_Centers,Highway_Access,Tax_Rate,Student_Teacher_Ratio,Demographic_Index,Low_Status_Pop,Median_House_Value
0.25,0.06,27.74,0.09,0.64,5.94,99.01,1.58,4.08,711.11,20.14,390.21,18.22,13.39
0.12,-0.06,27.72,-0.16,0.62,5.94,83.32,2.03,3.9,710.79,20.08,397.16,13.35,20.22
0.09,0.06,9.64,-0.08,0.36,5.82,53.89,2.48,6.19,391,19.26,396.96,12.08,21.71
0.43,0.14,9.76,-0.08,0.56,5.74,42.75,2.43,5.82,391.11,19.19,396.9,13.74,24.36
0.23,0.09,9.79,-0.09,0.5,5.63,28.99,2.78,5.94,390.98,19.05,393.36,17.58,23.22
0.19,0.01,9.7,0.08,0.6,5.41,72.89,2.8,6.04,391.07,19.21,396.86,21.16,19.77
0.25,-0.06,9.84,-0.02,0.88,5.84,70.48,2.82,6.06,391.04,19.3,397.14,14.23,18.43
0.15,0.07,9.58,-0.03,0.62,5.97,65.51,2.43,5.99,391.03,19.2,396.92,12.91,21.28
0.04,0.04,9.67,-0.2,0.55,5.57,73.66,2.48,5.99,390.97,19.28,395.74,14.97,17.71
0.32,0.09,9.62,0.06,0.68,5.78,79.77,2.34,6.04,390.88,19.1,396.82,14.54,16.86
0.25,0.06,11.74,-0.12,0.62,6.53,69.02,2.51,0.98,272.89,21,392.1,9.62,22.38
-0.09,0.1,11.92,0.01,0.62,6.17,76.7,2.38,1.14,273.07,20.94,396.99,9.1,20.63
0.12,-0.05,11.92,0.03,0.63,6.88,90.98,2.13,1.08,273,21.07,396.85,5.76,24.02
0.04,0.13,12.08,0.14,0.78,6.8,89.33,2.46,1.09,272.99,21,393.51,6.42,21.92
0,0.02,11.99,-0.13,0.46,6.07,80.95,2.79,0.9,272.96,21.07,396.75,7.78,11.83
